state,date,year,poverty_absolute,k
Johor,1970-01-01,1970,45.7,Johor|1970
Johor,1976-01-01,1976,29.0,Johor|1976
Johor,1979-01-01,1979,18.2,Johor|1979
Johor,1984-01-01,1984,12.2,Johor|1984
Johor,1987-01-01,1987,11.1,Johor|1987
Johor,1989-01-01,1989,10.1,Johor|1989
Johor,1992-01-01,1992,5.6,Johor|1992
Johor,1995-01-01,1995,3.1,Johor|1995
Johor,1997-01-01,1997,1.6,Johor|1997
Johor,1999-01-01,1999,2.5,Johor|1999
Johor,2002-01-01,2002,1.8,Johor|2002
Johor,2004-01-01,2004,2.0,Johor|2004
Johor,2007-01-01,2007,1.5,Johor|2007
Johor,2009-01-01,2009,1.3,Johor|2009
Johor,2012-01-01,2012,0.9,Johor|2012
Johor,2014-01-01,2014,0.0,Johor|2014
Johor,2016-01-01,2016,0.0,Johor|2016
Johor,2019-01-01,2019,3.9,Johor|2019
Johor,2020-01-01,2020,5.9,Johor|2020
Johor,2022-01-01,2022,4.6,Johor|2022
Kedah,1970-01-01,1970,63.2,Kedah|1970
Kedah,1976-01-01,1976,61.0,Kedah|1976
Kedah,1979-01-01,1979,53.8,Kedah|1979
Kedah,1984-01-01,1984,36.6,Kedah|1984
Kedah,1987-01-01,1987,31.3,Kedah|1987
Kedah,1989-01-01,1989,30.0,Kedah|1989
Kedah,1992-01-01,1992,21.2,Kedah|1992
Kedah,1995-01-01,1995,12.2,Kedah|1995
Kedah,1997-01-01,1997,11.5,Kedah|1997
Kedah,1999-01-01,1999,13.5,Kedah|1999
Kedah,2002-01-01,2002,10.7,Kedah|2002
Kedah,2004-01-01,2004,7.0,Kedah|2004
Kedah,2007-01-01,2007,3.1,Kedah|2007
Kedah,2009-01-01,2009,5.3,Kedah|2009
Kedah,2012-01-01,2012,1.7,Kedah|2012
Kedah,2014-01-01,2014,0.3,Kedah|2014
Kedah,2016-01-01,2016,0.2,Kedah|2016
Kedah,2019-01-01,2019,8.8,Kedah|2019
Kedah,2020-01-01,2020,12.7,Kedah|2020
Kedah,2022-01-01,2022,9.0,Kedah|2022
Kelantan,1970-01-01,1970,76.1,Kelantan|1970
Kelantan,1976-01-01,1976,67.1,Kelantan|1976
Kelantan,1979-01-01,1979,55.0,Kelantan|1979
Kelantan,1984-01-01,1984,39.2,Kelantan|1984
Kelantan,1987-01-01,1987,31.6,Kelantan|1987
Kelantan,1989-01-01,1989,29.9,Kelantan|1989
Kelantan,1992-01-01,1992,29.5,Kelantan|1992
Kelantan,1995-01-01,1995,22.9,Kelantan|1995
Kelantan,1997-01-01,1997,19.5,Kelantan|1997
Kelantan,1999-01-01,1999,18.7,Kelantan|1999
Kelantan,2002-01-01,2002,12.4,Kelantan|2002
Kelantan,2004-01-01,2004,10.6,Kelantan|2004
Kelantan,2007-01-01,2007,7.2,Kelantan|2007
Kelantan,2009-01-01,2009,4.8,Kelantan|2009
Kelantan,2012-01-01,2012,2.7,Kelantan|2012
Kelantan,2014-01-01,2014,0.9,Kelantan|2014
Kelantan,2016-01-01,2016,0.4,Kelantan|2016
Kelantan,2019-01-01,2019,12.4,Kelantan|2019
Kelantan,2020-01-01,2020,21.2,Kelantan|2020
Kelantan,2022-01-01,2022,13.2,Kelantan|2022
Melaka,1970-01-01,1970,44.9,Melaka|1970
Melaka,1976-01-01,1976,32.4,Melaka|1976
